county_id,capex_multiplier
2053,1.2476821774713618
458,1.471653951382872
2786,1.3600743640133603
2825,1.4894200188992301
2503,1.5426113638054098
1625,1.3697625298569294
1248,1.5837213144065794
3126,1.3803013674095446
1216,1.701795545479645
2029,1.2914475998665675
23,1.3315297223378244
2512,1.573928272836167
256,1.5556770145193854
1553,1.4276242736026414
3143,1.172345964717156
1043,1.423476439512472
200,1.2661304445861457
263,1.4219637971297474
3118,1.0222230871371656
609,1.1510547784763974
2934,1.3897209487074194
1673,1.5122829693875788
2262,1.3667094533920572
180,1.450895967571093
2545,1.447887609203504
486,1.4109754888925412
860,1.2056938573230815
1668,1.1805764998414727
115,1.2828204262898302
2500,1.2781651173479793
624,1.430159545432324
1264,1.2919528749332578
1542,1.356370683212147
1581,1.5209660672183165
766,1.4105393579069432
1524,1.1672135235828554
1656,1.4328722939534178
2635,1.2288360708701667
606,1.2476821774713618
